window_id,window_start,window_end,date,day_name,window_index,flow_count,packet_rate,byte_rate,mean_flow_duration,std_flow_duration,short_flow_ratio,mean_packet_size,packet_length_variability,fwd_bwd_packet_ratio,unique_dst_ports,unique_dst_ips,tcp_flow_ratio,syn_packet_ratio,is_attack_window,attack_category,attack_categories_present
20170703_1355,2017-07-03 13:55:00,2017-07-03 13:55:59,2017-07-03,Monday,0,1,0.13333333333333333,0.0,10.0,0.0,1.0,0.0,0.0,8.0,1,1,1.0,0.0,0,BENIGN,BENIGN
20170703_1356,2017-07-03 13:56:00,2017-07-03 13:56:59,2017-07-03,Monday,1,63,27.6,3815.866666666667,9968426.73015873,24307721.914311554,0.746031746031746,138.256038647343,203.8051401023033,2.964114832535885,15,8,0.42857142857142855,0.06159420289855073,0,BENIGN,BENIGN
20170703_1357,2017-07-03 13:57:00,2017-07-03 13:57:59,2017-07-03,Monday,2,384,82.21666666666667,9430.6,9893131.372395834,26302795.060165375,0.8463541666666666,114.70423677275491,75.49966297425529,2.830745341614907,18,33,0.078125,0.023515102371781876,0,BENIGN,BENIGN
20170703_1358,2017-07-03 13:58:00,2017-07-03 13:58:59,2017-07-03,Monday,3,127,32.583333333333336,4119.233333333334,9652468.204724409,25291064.819035728,0.8188976377952756,126.42148337595908,103.05818542853895,3.0,17,24,0.13385826771653545,0.02557544757033248,0,BENIGN,BENIGN
20170703_1359,2017-07-03 13:59:00,2017-07-03 13:59:59,2017-07-03,Monday,4,109,30.983333333333334,11644.733333333334,13103322.963302752,28377495.39261443,0.7614678899082569,375.838622915546,91.45010720527053,1.8837209302325582,14,21,0.12844036697247707,0.02474448628294782,0,BENIGN,BENIGN
20170703_1400,2017-07-03 14:00:00,2017-07-03 14:00:59,2017-07-03,Monday,5,58,30.85,24458.966666666667,45319494.51724138,35889821.06682707,0.3103448275862069,792.8352242031334,91.70548188131538,1.2920792079207921,9,28,0.10344827586206896,0.004321988114532685,0,BENIGN,BENIGN
20170703_1401,2017-07-03 14:01:00,2017-07-03 14:01:59,2017-07-03,Monday,6,293,86.28333333333333,60077.63333333333,4468638.238907849,19707859.279050056,0.9112627986348123,696.2831755843152,83.8049705744313,0.8136602451838879,20,21,0.10238907849829351,0.015452965037666602,0,BENIGN,BENIGN
20170703_1402,2017-07-03 14:02:00,2017-07-03 14:02:59,2017-07-03,Monday,7,399,120.83333333333333,72379.58333333333,18504754.51879699,35285198.49430411,0.7368421052631579,599.0034482758621,102.47605662930687,1.0152862701500833,12,65,0.13533834586466165,0.01710344827586207,0,BENIGN,BENIGN
20170703_1403,2017-07-03 14:03:00,2017-07-03 14:03:59,2017-07-03,Monday,8,181,124.98333333333333,100658.26666666666,13049295.67955801,28741032.39510516,0.7071823204419889,805.3735164688625,233.6782492330588,1.0408163265306123,23,38,0.3149171270718232,0.021602880384051205,0,BENIGN,BENIGN
20170703_1404,2017-07-03 14:04:00,2017-07-03 14:04:59,2017-07-03,Monday,9,318,75.16666666666667,21433.016666666666,21353960.352201257,34405048.612298235,0.6572327044025157,285.139911308204,116.76003758426113,1.548587570621469,20,67,0.21069182389937108,0.03348115299334811,0,BENIGN,BENIGN
